Year,Locationabbr,Locationdesc,Class,Topic,Question,Response,Break_Out,Break_Out_Category,Sample_Size,Data_value,Confidence_limit_Low,Confidence_limit_High,Display_order,Data_value_unit,Data_value_type,Data_Value_Footnote_Symbol,Data_Value_Footnote,DataSource,ClassId,TopicId,LocationID,BreakoutID,BreakOutCategoryID,QuestionID,ResponseID,GeoLocation
2012,AL,Alabama,Oral Health,Dental Visit,Visited the dentist or dental clinic within the past year for any reason (variable calculated from one or more BRFSS questions),Yes,25-34,Age Group,461,58,53.5,62.4,1049,%,Crude Prevalence,,,BRFSS,CLASS13,Topic16,01,AGE02,CAT3,_DENVST2,RESP046,"(32.840571122, -86.631860762)"
2012,AL,Alabama,Oral Health,Dental Visit,Visited the dentist or dental clinic within the past year for any reason (variable calculated from one or more BRFSS questions),No,25-34,Age Group,299,42,37.6,46.5,1055,%,Crude Prevalence,,,BRFSS,CLASS13,Topic16,01,AGE02,CAT3,_DENVST2,RESP054,"(32.840571122, -86.631860762)"
2012,AL,Alabama,Oral Health,Dental Visit,Visited the dentist or dental clinic within the past year for any reason (variable calculated from one or more BRFSS questions),Yes,35-44,Age Group,590,55.2,51.2,59.2,1050,%,Crude Prevalence,,,BRFSS,CLASS13,Topic16,01,AGE03,CAT3,_DENVST2,RESP046,"(32.840571122, -86.631860762)"
2012,AL,Alabama,Oral Health,Dental Visit,Visited the dentist or dental clinic within the past year for any reason (variable calculated from one or more BRFSS questions),No,35-44,Age Group,410,44.8,40.9,48.8,1056,%,Crude Prevalence,,,BRFSS,CLASS13,Topic16,01,AGE03,CAT3,_DENVST2,RESP054,"(32.840571122, -86.631860762)"
2012,AL,Alabama,Oral Health,Dental Visit,Visited the dentist or dental clinic within the past year for any reason (variable calculated from one or more BRFSS questions),Yes,45-54,Age Group,897,57.9,54.5,61.3,1051,%,Crude Prevalence,,,BRFSS,CLASS13,Topic16,01,AGE04,CAT3,_DENVST2,RESP046,"(32.840571122, -86.631860762)"
2012,AL,Alabama,Oral Health,Dental Visit,Visited the dentist or dental clinic within the past year for any reason (variable calculated from one or more BRFSS questions),No,45-54,Age Group,568,42.1,38.8,45.5,1057,%,Crude Prevalence,,,BRFSS,CLASS13,Topic16,01,AGE04,CAT3,_DENVST2,RESP054,"(32.840571122, -86.631860762)"
2012,AL,Alabama,Oral Health,Dental Visit,Visited the dentist or dental clinic within the past year for any reason (variable calculated from one or more BRFSS questions),Yes,55-64,Age Group,1358,60.3,57.5,63,1052,%,Crude Prevalence,,,BRFSS,CLASS13,Topic16,01,AGE05,CAT3,_DENVST2,RESP046,"(32.840571122, -86.631860762)"
2012,AL,Alabama,Oral Health,Dental Visit,Visited the dentist or dental clinic within the past year for any reason (variable calculated from one or more BRFSS questions),No,55-64,Age Group,842,39.8,37,42.5,1058,%,Crude Prevalence,,,BRFSS,CLASS13,Topic16,01,AGE05,CAT3,_DENVST2,RESP054,"(32.840571122, -86.631860762)"
2012,AL,Alabama,Oral Health,Dental Visit,Visited the dentist or dental clinic within the past year for any reason (variable calculated from one or more BRFSS questions),Yes,65+,Age Group,1811,56.7,54.4,59,1053,%,Crude Prevalence,,,BRFSS,CLASS13,Topic16,01,AGE09,CAT3,_DENVST2,RESP046,"(32.840571122, -86.631860762)"
2012,AL,Alabama,Oral Health,Dental Visit,Visited the dentist or dental clinic within the past year for any reason (variable calculated from one or more BRFSS questions),No,65+,Age Group,1274,43.3,41,45.6,1059,%,Crude Prevalence,,,BRFSS,CLASS13,Topic16,01,AGE09,CAT3,_DENVST2,RESP054,"(32.840571122, -86.631860762)"
2012,AL,Alabama,Oral Health,Dental Visit,Visited the dentist or dental clinic within the past year for any reason (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,5370,58.6,57.1,60.2,1042,%,Crude Prevalence,,,BRFSS,CLASS13,Topic16,01,BO1,CAT1,_DENVST2,RESP046,"(32.840571122, -86.631860762)"
2012,AL,Alabama,Oral Health,Dental Visit,Visited the dentist or dental clinic within the past year for any reason (variable calculated from one or more BRFSS questions),No,Overall,Overall,3523,41.4,39.8,42.9,1043,%,Crude Prevalence,,,BRFSS,CLASS13,Topic16,01,BO1,CAT1,_DENVST2,RESP054,"(32.840571122, -86.631860762)"
2012,AL,Alabama,Oral Health,Dental Visit,Visited the dentist or dental clinic within the past year for any reason (variable calculated from one or more BRFSS questions),Yes,Less than H.S.,Education Attained,352,31.7,27.4,35.9,1070,%,Crude Prevalence,,,BRFSS,CLASS13,Topic16,01,EDUCA1,CAT5,_DENVST2,RESP046,"(32.840571122, -86.631860762)"
2012,AL,Alabama,Oral Health,Dental Visit,Visited the dentist or dental clinic within the past year for any reason (variable calculated from one or more BRFSS questions),No,Less than H.S.,Education Attained,860,68.3,64.1,72.6,1074,%,Crude Prevalence,,,BRFSS,CLASS13,Topic16,01,EDUCA1,CAT5,_DENVST2,RESP054,"(32.840571122, -86.631860762)"
2012,AL,Alabama,Oral Health,Dental Visit,Visited the dentist or dental clinic within the past year for any reason (variable calculated from one or more BRFSS questions),Yes,H.S. or G.E.D.,Education Attained,1550,54.9,52.2,57.6,1071,%,Crude Prevalence,,,BRFSS,CLASS13,Topic16,01,EDUCA2,CAT5,_DENVST2,RESP046,"(32.840571122, -86.631860762)"
2012,AL,Alabama,Oral Health,Dental Visit,Visited the dentist or dental clinic within the past year for any reason (variable calculated from one or more BRFSS questions),No,H.S. or G.E.D.,Education Attained,1286,45.1,42.4,47.8,1075,%,Crude Prevalence,,,BRFSS,CLASS13,Topic16,01,EDUCA2,CAT5,_DENVST2,RESP054,"(32.840571122, -86.631860762)"
2012,AL,Alabama,Oral Health,Dental Visit,Visited the dentist or dental clinic within the past year for any reason (variable calculated from one or more BRFSS questions),Yes,Some post-H.S.,Education Attained,1592,64.8,62,67.6,1072,%,Crude Prevalence,,,BRFSS,CLASS13,Topic16,01,EDUCA3,CAT5,_DENVST2,RESP046,"(32.840571122, -86.631860762)"
2012,AL,Alabama,Oral Health,Dental Visit,Visited the dentist or dental clinic within the past year for any reason (variable calculated from one or more BRFSS questions),No,Some post-H.S.,Education Attained,876,35.2,32.5,38,1076,%,Crude Prevalence,,,BRFSS,CLASS13,Topic16,01,EDUCA3,CAT5,_DENVST2,RESP054,"(32.840571122, -86.631860762)"
2012,AL,Alabama,Oral Health,Dental Visit,Visited the dentist or dental clinic within the past year for any reason (variable calculated from one or more BRFSS questions),Yes,College graduate,Education Attained,1870,79.4,77.2,81.7,1073,%,Crude Prevalence,,,BRFSS,CLASS13,Topic16,01,EDUCA4,CAT5,_DENVST2,RESP046,"(32.840571122, -86.631860762)"
2012,AL,Alabama,Oral Health,Dental Visit,Visited the dentist or dental clinic within the past year for any reason (variable calculated from one or more BRFSS questions),No,College graduate,Education Attained,493,20.6,18.4,22.8,1077,%,Crude Prevalence,,,BRFSS,CLASS13,Topic16,01,EDUCA4,CAT5,_DENVST2,RESP054,"(32.840571122, -86.631860762)"
2012,AL,Alabama,Oral Health,Dental Visit,Visited the dentist or dental clinic within the past year for any reason (variable calculated from one or more BRFSS questions),Yes,"Less than $15,000",Household Income,418,34.6,30.4,38.8,1078,%,Crude Prevalence,,,BRFSS,CLASS13,Topic16,01,INCOME1,CAT6,_DENVST2,RESP046,"(32.840571122, -86.631860762)"
2012,AL,Alabama,Oral Health,Dental Visit,Visited the dentist or dental clinic within the past year for any reason (variable calculated from one or more BRFSS questions),No,"Less than $15,000",Household Income,833,65.4,61.2,69.6,1083,%,Crude Prevalence,,,BRFSS,CLASS13,Topic16,01,INCOME1,CAT6,_DENVST2,RESP054,"(32.840571122, -86.631860762)"
2012,AL,Alabama,Oral Health,Dental Visit,Visited the dentist or dental clinic within the past year for any reason (variable calculated from one or more BRFSS questions),Yes,"$15,000-$24,999",Household Income,743,42.9,39.1,46.8,1079,%,Crude Prevalence,,,BRFSS,CLASS13,Topic16,01,INCOME2,CAT6,_DENVST2,RESP046,"(32.840571122, -86.631860762)"
2012,AL,Alabama,Oral Health,Dental Visit,Visited the dentist or dental clinic within the past year for any reason (variable calculated from one or more BRFSS questions),No,"$15,000-$24,999",Household Income,863,57.1,53.3,60.9,1084,%,Crude Prevalence,,,BRFSS,CLASS13,Topic16,01,INCOME2,CAT6,_DENVST2,RESP054,"(32.840571122, -86.631860762)"
2012,AL,Alabama,Oral Health,Dental Visit,Visited the dentist or dental clinic within the past year for any reason (variable calculated from one or more BRFSS questions),Yes,"$25,000-$34,999",Household Income,537,56,51,60.9,1080,%,Crude Prevalence,,,BRFSS,CLASS13,Topic16,01,INCOME3,CAT6,_DENVST2,RESP046,"(32.840571122, -86.631860762)"
2012,AL,Alabama,Oral Health,Dental Visit,Visited the dentist or dental clinic within the past year for any reason (variable calculated from one or more BRFSS questions),No,"$25,000-$34,999",Household Income,363,44,39.1,49,1085,%,Crude Prevalence,,,BRFSS,CLASS13,Topic16,01,INCOME3,CAT6,_DENVST2,RESP054,"(32.840571122, -86.631860762)"
2012,AL,Alabama,Oral Health,Dental Visit,Visited the dentist or dental clinic within the past year for any reason (variable calculated from one or more BRFSS questions),Yes,"$35,000-$49,999",Household Income,703,62.3,58,66.5,1081,%,Crude Prevalence,,,BRFSS,CLASS13,Topic16,01,INCOME4,CAT6,_DENVST2,RESP046,"(32.840571122, -86.631860762)"
2012,AL,Alabama,Oral Health,Dental Visit,Visited the dentist or dental clinic within the past year for any reason (variable calculated from one or more BRFSS questions),No,"$35,000-$49,999",Household Income,331,37.7,33.5,42,1086,%,Crude Prevalence,,,BRFSS,CLASS13,Topic16,01,INCOME4,CAT6,_DENVST2,RESP054,"(32.840571122, -86.631860762)"
2012,AL,Alabama,Oral Health,Dental Visit,Visited the dentist or dental clinic within the past year for any reason (variable calculated from one or more BRFSS questions),Yes,"$50,000+",Household Income,2052,81.1,78.9,83.3,1082,%,Crude Prevalence,,,BRFSS,CLASS13,Topic16,01,INCOME5,CAT6,_DENVST2,RESP046,"(32.840571122, -86.631860762)"
2012,AL,Alabama,Oral Health,Dental Visit,Visited the dentist or dental clinic within the past year for any reason (variable calculated from one or more BRFSS questions),No,"$50,000+",Household Income,426,18.9,16.7,21.1,1087,%,Crude Prevalence,,,BRFSS,CLASS13,Topic16,01,INCOME5,CAT6,_DENVST2,RESP054,"(32.840571122, -86.631860762)"
2012,AL,Alabama,Oral Health,Dental Visit,Visited the dentist or dental clinic within the past year for any reason (variable calculated from one or more BRFSS questions),Yes,"White, non-Hispanic",Race/Ethnicity,4006,61.7,59.9,63.5,1060,%,Crude Prevalence,,,BRFSS,CLASS13,Topic16,01,RACE1,CAT4,_DENVST2,RESP046,"(32.840571122, -86.631860762)"
2012,AL,Alabama,Oral Health,Dental Visit,Visited the dentist or dental clinic within the past year for any reason (variable calculated from one or more BRFSS questions),No,"White, non-Hispanic",Race/Ethnicity,2160,38.3,36.5,40.2,1065,%,Crude Prevalence,,,BRFSS,CLASS13,Topic16,01,RACE1,CAT4,_DENVST2,RESP054,"(32.840571122, -86.631860762)"
2012,AL,Alabama,Oral Health,Dental Visit,Visited the dentist or dental clinic within the past year for any reason (variable calculated from one or more BRFSS questions),Yes,"Black, non-Hispanic",Race/Ethnicity,1104,51.4,48.3,54.5,1061,%,Crude Prevalence,,,BRFSS,CLASS13,Topic16,01,RACE2,CAT4,_DENVST2,RESP046,"(32.840571122, -86.631860762)"
